,end_station_name,end_station_id
1019,Fort Totten Metro,31515.0
6077780,Founders Row/W Broad St & West St,32600.0
6983,Four Mile Run Dr & S Shirlington Rd,31057.0
13379,Four Mile Run Dr & S Walter Reed Dr,31059.0
5567,Franklin St & S Washington St,31907.0
7652,Frederick Ave & Horners Ln,32009.0
3743,Friendship Blvd & Willard Ave,32040.0
1241,Friendship Hts Metro / Wisconsin Ave & Wisconsin Cir,32014.0
4308,Ft Myer Dr & Arlington Blvd,31937.0
745,GMU / Fairfax Dr & Kenmore St,31040.0
4267656,GMU/Fairfax Dr & Kenmore St,31040.0
170,Gallaudet / 8th St & Florida Ave NE,31508.0
7245,Garland Ave & Walden Rd,32082.0
7595801,Gatehouse Rd & Telestar Ct,32263.0
309,George Mason Dr & Wilson Blvd,31036.0
1622,George Mason High School / Haycock Rd & Leesburg Pike,32600.0
264,Georgetown Harbor / 30th St NW,31215.0
1127,Georgia & Missouri Ave NW,31411.0
57,Georgia & New Hampshire Ave NW,31400.0
6621246,Georgia Ave & Dahlia St NW,31425.0
144,Georgia Ave & Emerson St NW,31405.0
2979611,Georgia Ave & Fairmont St NW,31207.0
5,Georgia Ave & Kennedy St NW,31415.0
336,Georgia Ave & Morton St NW,31419.0
88,Georgia Ave & Piney Branch Rd NW,31414.0
11821,Georgia Ave & Spring St,32035.0
3709,Georgia Ave and Fairmont St NW,31207.0
12693,Glebe Rd & 11th St N,31038.0
1296980,Golf Course Sq and Golf Course Dr,32246.0
5218,Good Hope & Naylor Rd SE,31700.0
204,Good Hope Rd & 14th St SE,31803.0
6,Good Hope Rd & MLK Ave SE,31802.0
1844,Grandview & Blueridge Ave,32065.0
226,Grant Circle,31421.0
353,Gravelly Point,31064.0
1338166,Green Range Dr and Glade Dr,32249.0
1031455,Greenbelt Station Parkway,32426.0
147867,Greensboro & International Dr,32221.0
498,Greensboro & Pinnacle Dr,32227.0
6361203,Greensboro Metro East,32211.0
296,Hains Point/Buckeye & Ohio Dr SW,31273.0
9283,Half & Water St SW,31664.0
1163,Hamlin & 7th St NE,31514.0
5960,Hardy Rec Center,31326.0
1917625,Hartland Rd & Harte Pl,32255.0
2203,Harvard St & Adams Mill Rd NW,31112.0
286,Henry Bacon Dr & Lincoln Memorial Circle NW,31289.0
2077,Henry St & Pendleton St,31046.0
2838129,Holmes Run Pkwy & N Pickett St,31963.0
19303,Hyattsville Library / Adelphi Rd & Toledo Rd,32417.0
